total_area_sqm;surface_land_sqm;nbr_bedrooms;nbr_frontages;garden_sqm;terrace_sqm;construction_year;fl_terrace;fl_garden;fl_furnished;fl_double_glazing;fl_swimming_pool;fl_open_fire;fl_floodzone;property_type;subproperty_type;region;province;locality;state_building;equipped_kitchen;heating_type
5500.0;1607370.0;60;40.0;0.0;950.0;19610.0;1;0;0;1;1;0;1;HOUSE;VILLA;Wallonia;Walloon Brabant;Nivelles;TO_BE_DONE_UP;MISSING;FUELOIL
7580.0;1607370.0;60;40.0;0.0;1250.0;19610.0;1;0;0;1;0;0;1;HOUSE;HOUSE;Wallonia;Walloon Brabant;Nivelles;GOOD;MISSING;MISSING
2000.0;1300000.0;40;30.0;0.0;260.0;18000.0;1;0;0;0;0;0;1;HOUSE;HOUSE;Wallonia;Luxembourg;Marche-en-Famenne;MISSING;SEMI_EQUIPPED;GAS
2000.0;1300000.0;40;30.0;0.0;260.0;18000.0;1;0;0;0;0;0;1;HOUSE;HOUSE;Wallonia;Luxembourg;Marche-en-Famenne;MISSING;SEMI_EQUIPPED;GAS
2000.0;1300000.0;40;30.0;0.0;260.0;18000.0;1;0;0;0;0;0;1;HOUSE;HOUSE;Wallonia;Luxembourg;Marche-en-Famenne;MISSING;SEMI_EQUIPPED;GAS
2000.0;1300000.0;40;30.0;0.0;260.0;18000.0;1;0;0;0;0;0;1;HOUSE;HOUSE;Wallonia;Luxembourg;Marche-en-Famenne;MISSING;SEMI_EQUIPPED;GAS
2500.0;1294030.0;20;40.0;0.0;400.0;19560.0;1;0;0;1;0;0;0;HOUSE;FARMHOUSE;Wallonia;Liège;Liège;AS_NEW;INSTALLED;FUELOIL
9670.0;1013490.0;60;40.0;0.0;0.0;18100.0;0;0;0;0;1;1;0;HOUSE;CASTLE;Flanders;East Flanders;Dendermonde;GOOD;MISSING;FUELOIL
9000.0;1000000.0;70;40.0;650000.0;1200.0;18500.0;1;1;0;0;0;1;0;HOUSE;EXCEPTIONAL_PROPERTY;Wallonia;Hainaut;Mons;MISSING;HYPER_EQUIPPED;MISSING
8750.0;853490.0;160;40.0;0.0;0.0;18810.0;0;0;0;1;0;1;0;HOUSE;CASTLE;Flanders;East Flanders;Gent;GOOD;MISSING;FUELOIL
